Game	GameID	Players	Rounds	Turns	Ticks	P0_Score	P0_Ordinal	P0_Type	P1_Score	P1_Ordinal	P1_Type	P2_Score	P2_Ordinal	P2_Type	P3_Score	P3_Ordinal	P3_Type	P4_Score	P4_Ordinal	P4_Type	P5_Score	P5_Ordinal	P5_Type	P6_Score	P6_Ordinal	P6_Type	P7_Score	P7_Ordinal	P7_Type	P8_Score	P8_Ordinal	P8_Type
SushiGo	64	2	2	55	60	42.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	65	2	2	55	58	59.0	1	BasicMCTS	58.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	66	2	2	55	58	46.0	2	BasicMCTS	50.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	67	2	2	55	58	45.0	2	BasicMCTS	61.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	68	2	2	55	58	42.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	69	2	2	55	60	38.0	2	BasicMCTS	50.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	70	2	2	55	62	48.0	1	BasicMCTS	39.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	71	2	2	55	62	50.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	72	2	2	55	62	50.0	1	BasicMCTS	35.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	73	2	2	55	58	47.0	2	BasicMCTS	59.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	74	2	2	55	58	39.0	2	BasicMCTS	62.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	75	2	2	55	58	60.0	1	BasicMCTS	48.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	76	2	2	55	60	43.0	2	BasicMCTS	44.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	77	2	2	55	58	51.0	1	BasicMCTS	45.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	78	2	2	55	58	38.0	2	BasicMCTS	44.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	79	2	2	55	58	47.0	2	BasicMCTS	51.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	80	2	2	55	58	49.0	1	BasicMCTS	38.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	81	2	2	55	60	55.0	2	BasicMCTS	56.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	82	2	2	55	62	43.0	1	BasicMCTS	39.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	83	2	2	55	58	42.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	84	2	2	55	60	45.0	2	BasicMCTS	53.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	85	2	2	55	58	42.0	2	BasicMCTS	62.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	86	2	2	55	62	42.0	2	BasicMCTS	49.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	87	2	2	55	58	41.0	2	BasicMCTS	50.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	88	2	2	55	62	45.0	2	BasicMCTS	64.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	89	2	2	55	60	44.0	2	BasicMCTS	46.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	90	2	2	55	58	47.0	1	BasicMCTS	42.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	91	2	2	55	58	54.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	92	2	2	55	60	35.0	2	BasicMCTS	48.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	93	2	2	55	58	33.0	2	BasicMCTS	46.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	94	2	2	55	60	44.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	95	2	2	55	58	37.0	1	BasicMCTS	32.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	96	2	2	55	60	61.0	1	BasicMCTS	49.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	97	2	2	55	62	57.0	1	BasicMCTS	45.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	98	2	2	55	62	41.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	99	2	2	55	60	41.0	2	BasicMCTS	56.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	100	2	2	55	58	33.0	2	BasicMCTS	64.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	101	2	2	55	58	52.0	2	BasicMCTS	70.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	2	2	2	55	58	44.0	2	BasicMCTS	47.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	3	2	2	55	58	44.0	1	BasicMCTS	43.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	4	2	2	55	58	49.0	1	BasicMCTS	44.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	5	2	2	55	58	46.0	2	BasicMCTS	53.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	6	2	2	55	60	59.0	1	BasicMCTS	58.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	7	2	2	55	58	52.0	1	BasicMCTS	36.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	8	2	2	55	58	45.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	9	2	2	55	58	45.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	10	2	2	55	64	41.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	11	2	2	55	58	60.0	1	BasicMCTS	43.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	12	2	2	55	60	41.0	2	BasicMCTS	62.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	13	2	2	55	62	39.0	2	BasicMCTS	60.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	14	2	2	55	58	48.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	15	2	2	55	60	46.0	1	BasicMCTS	33.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	16	2	2	55	64	44.0	2	BasicMCTS	52.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	17	2	2	55	62	48.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	18	2	2	55	58	48.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	19	2	2	55	62	49.0	1	BasicMCTS	27.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
